Cluster 	Consensus
1	ambiguous
2	asexual
3	asexual
4	asexual
5	asexual
6	shared
7	asexual
8	shared
9	asexual
10	shared
11	shared
12	asexual
13	asexual
14	shared
15	asexual
16	asexual
17	asexual
18	shared
19	shared
20	gam
21	shared
22	ambiguous
23	asexual
24	shared
25	asexual
26	asexual
27	shared
28	shared
29	asexual
30	asexual
31	ambiguous
32	shared
33	asexual
34	asexual
35	asexual
36	asexual
37	shared
38	gam
39	asexual
40	shared
41	shared
42	shared
43	gam
44	shared
45	asexual
46	gam
47	ambiguous
48	shared
49	asexual
50	asexual
51	shared
52	asexual
53	asexual
54	asexual
55	asexual
56	asexual
57	shared
58	asexual
59	asexual
60	shared
61	asexual
62	shared
63	gam
64	asexual
65	asexual
66	asexual
67	gam
68	ambiguous
69	gam
70	asexual
71	ambiguous
72	asexual
73	ambiguous
74	shared
75	asexual
76	asexual
78	ambiguous
79	asexual
81	asexual
82	gam
83	asexual
84	gam
85	asexual
86	shared
87	asexual
88	asexual
89	gam
90	shared
91	shared
92	ambiguous
93	asexual
94	asexual
95	gam
96	asexual
97	shared
98	asexual
99	gam
100	asexual
101	asexual
102	gam
103	shared
104	shared
105	ambiguous
106	asexual
107	ambiguous
108	asexual
109	asexual
110	asexual
111	asexual
112	shared
113	asexual
114	asexual
115	asexual
116	shared
117	asexual
118	asexual
119	asexual
120	ambiguous
121	shared
122	shared
123	shared
124	gam
125	gam
126	asexual
127	shared
128	ambiguous
129	shared
130	gam
131	asexual
132	shared
133	shared
134	shared
135	ambiguous
136	asexual
137	asexual
138	asexual
139	asexual
140	asexual
141	ambiguous
142	asexual
143	asexual
144	ambiguous
145	asexual
146	asexual
147	asexual
148	shared
149	ambiguous
150	asexual
151	gam
152	asexual
153	shared
154	ambiguous
155	asexual
156	asexual
157	ambiguous
158	shared
159	asexual
160	shared
161	shared
162	shared
163	asexual
164	gam
165	gam
166	shared
167	gam
168	asexual
169	ambiguous
170	gam
171	asexual
172	shared
173	shared
174	shared
175	ambiguous
176	shared
177	shared
178	asexual
179	asexual
180	asexual
181	ambiguous
182	gam
183	shared
184	gam
185	asexual
186	asexual
187	ambiguous
188	shared
189	asexual
190	shared
191	shared
192	asexual
193	asexual
194	ambiguous
195	ambiguous
196	shared
197	asexual
198	ambiguous
199	asexual
200	shared
201	asexual
202	asexual
203	asexual
204	gam
205	gam
206	asexual
207	shared
208	shared
210	ambiguous
211	gam
212	shared
214	asexual
215	asexual
216	shared
217	ambiguous
218	ambiguous
219	asexual
220	ambiguous
221	ambiguous
222	ambiguous
223	ambiguous
224	asexual
225	shared
226	asexual
227	shared
228	gam
229	asexual
230	gam
231	gam
232	gam
234	gam
235	shared
236	asexual
